match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration_raw,duration_seconds,formatted_seconds,duration_minutes,formatted_minutes,duration_hours,formatted_hours
12018576,2201.0,1244.0,0.0,0.0,0.0,1707535535.0,3445.0,3445.0,0 days 00:57:25,3445.0,2 days 09:25:00,3445.0,143 days 13:00:00
12018580,1759.0,2538.0,0.0,0.0,0.0,1707452483.0,4297.0,4297.0,0 days 01:11:37,4297.0,2 days 23:37:00,4297.0,179 days 01:00:00
12018587,2496.0,2444.0,0.0,0.0,0.0,1707529688.0,4940.0,4940.0,0 days 01:22:20,4940.0,3 days 10:20:00,4940.0,205 days 20:00:00
12018588,3693.0,2904.0,0.0,0.0,0.0,1707446848.0,6597.0,6597.0,0 days 01:49:57,6597.0,4 days 13:57:00,6597.0,274 days 21:00:00
12018620,2801.0,2599.0,2003.0,0.0,0.0,1707494656.0,7403.0,7403.0,0 days 02:03:23,7403.0,5 days 03:23:00,7403.0,308 days 11:00:00
12018623,5146.0,2334.0,2625.0,0.0,0.0,1707485550.0,10105.0,10105.0,0 days 02:48:25,10105.0,7 days 00:25:00,10105.0,421 days 01:00:00
12018624,3460.0,2378.0,0.0,0.0,0.0,1707480344.0,5838.0,5838.0,0 days 01:37:18,5838.0,4 days 01:18:00,5838.0,243 days 06:00:00
12018626,2751.0,2378.0,0.0,0.0,0.0,1707474578.0,5129.0,5129.0,0 days 01:25:29,5129.0,3 days 13:29:00,5129.0,213 days 17:00:00
12018627,3137.0,3527.0,0.0,0.0,0.0,1707561210.0,6664.0,6664.0,0 days 01:51:04,6664.0,4 days 15:04:00,6664.0,277 days 16:00:00
12018628,3636.0,3001.0,0.0,0.0,0.0,1707397785.0,6637.0,6637.0,0 days 01:50:37,6637.0,4 days 14:37:00,6637.0,276 days 13:00:00
12018633,3567.0,2995.0,3938.0,0.0,0.0,1707572672.0,10500.0,10500.0,0 days 02:55:00,10500.0,7 days 07:00:00,10500.0,437 days 12:00:00
12018643,1918.0,2572.0,0.0,0.0,0.0,1707486305.0,4490.0,4490.0,0 days 01:14:50,4490.0,3 days 02:50:00,4490.0,187 days 02:00:00
12018645,2658.0,1991.0,0.0,0.0,0.0,1707565846.0,4649.0,4649.0,0 days 01:17:29,4649.0,3 days 05:29:00,4649.0,193 days 17:00:00
12018647,3074.0,2272.0,0.0,0.0,0.0,1707493514.0,5346.0,5346.0,0 days 01:29:06,5346.0,3 days 17:06:00,5346.0,222 days 18:00:00
12018648,2152.0,2577.0,0.0,0.0,0.0,1707414240.0,4729.0,4729.0,0 days 01:18:49,4729.0,3 days 06:49:00,4729.0,197 days 01:00:00
12018649,2925.0,3767.0,2374.0,0.0,0.0,1707402692.0,9066.0,9066.0,0 days 02:31:06,9066.0,6 days 07:06:00,9066.0,377 days 18:00:00
12018651,3435.0,3201.0,0.0,0.0,0.0,1707480315.0,6636.0,6636.0,0 days 01:50:36,6636.0,4 days 14:36:00,6636.0,276 days 12:00:00
12018654,3861.0,2068.0,0.0,0.0,0.0,1707481032.0,5929.0,5929.0,0 days 01:38:49,5929.0,4 days 02:49:00,5929.0,247 days 01:00:00
12018655,3631.0,2011.0,0.0,0.0,0.0,1707402037.0,5642.0,5642.0,0 days 01:34:02,5642.0,3 days 22:02:00,5642.0,235 days 02:00:00
12018656,2524.0,2560.0,2732.0,0.0,0.0,1707410253.0,7816.0,7816.0,0 days 02:10:16,7816.0,5 days 10:16:00,7816.0,325 days 16:00:00
12018657,2484.0,3222.0,0.0,0.0,0.0,1707571134.0,5706.0,5706.0,0 days 01:35:06,5706.0,3 days 23:06:00,5706.0,237 days 18:00:00
12018665,3177.0,3056.0,0.0,0.0,0.0,1707410051.0,6233.0,6233.0,0 days 01:43:53,6233.0,4 days 07:53:00,6233.0,259 days 17:00:00
12018669,2568.0,2943.0,2745.0,0.0,0.0,1707403201.0,8256.0,8256.0,0 days 02:17:36,8256.0,5 days 17:36:00,8256.0,344 days 00:00:00
12018671,2345.0,3085.0,0.0,0.0,0.0,1707486418.0,5430.0,5430.0,0 days 01:30:30,5430.0,3 days 18:30:00,5430.0,226 days 06:00:00
12018672,1190.0,2639.0,0.0,0.0,0.0,1707478120.0,3829.0,3829.0,0 days 01:03:49,3829.0,2 days 15:49:00,3829.0,159 days 13:00:00
12018675,1943.0,2495.0,0.0,0.0,0.0,1707492537.0,4438.0,4438.0,0 days 01:13:58,4438.0,3 days 01:58:00,4438.0,184 days 22:00:00
12018676,2962.0,3290.0,0.0,0.0,0.0,1707472693.0,6252.0,6252.0,0 days 01:44:12,6252.0,4 days 08:12:00,6252.0,260 days 12:00:00
12018678,2401.0,3328.0,4999.0,0.0,0.0,1707569060.0,10728.0,10728.0,0 days 02:58:48,10728.0,7 days 10:48:00,10728.0,447 days 00:00:00
12018695,3244.0,1601.0,0.0,0.0,0.0,1707411755.0,4845.0,4845.0,0 days 01:20:45,4845.0,3 days 08:45:00,4845.0,201 days 21:00:00
12018697,2916.0,4624.0,4937.0,0.0,0.0,1707502431.0,12477.0,12477.0,0 days 03:27:57,12477.0,8 days 15:57:00,12477.0,519 days 21:00:00
12018698,2860.0,2977.0,0.0,0.0,0.0,1707483370.0,5837.0,5837.0,0 days 01:37:17,5837.0,4 days 01:17:00,5837.0,243 days 05:00:00
12018701,2314.0,3562.0,0.0,0.0,0.0,1707489576.0,5876.0,5876.0,0 days 01:37:56,5876.0,4 days 01:56:00,5876.0,244 days 20:00:00
12018703,1895.0,1768.0,0.0,0.0,0.0,1707510259.0,3663.0,3663.0,0 days 01:01:03,3663.0,2 days 13:03:00,3663.0,152 days 15:00:00
12018704,3712.0,2857.0,3813.0,0.0,0.0,1707577079.0,10382.0,10382.0,0 days 02:53:02,10382.0,7 days 05:02:00,10382.0,432 days 14:00:00
12018705,1494.0,1869.0,0.0,0.0,0.0,1707415771.0,3363.0,3363.0,0 days 00:56:03,3363.0,2 days 08:03:00,3363.0,140 days 03:00:00
12018707,1644.0,1953.0,0.0,0.0,0.0,1707403223.0,3597.0,3597.0,0 days 00:59:57,3597.0,2 days 11:57:00,3597.0,149 days 21:00:00
12018720,2216.0,1516.0,0.0,0.0,0.0,1707486169.0,3732.0,3732.0,0 days 01:02:12,3732.0,2 days 14:12:00,3732.0,155 days 12:00:00
12018722,1436.0,2524.0,3074.0,0.0,0.0,1707404110.0,7034.0,7034.0,0 days 01:57:14,7034.0,4 days 21:14:00,7034.0,293 days 02:00:00
12018724,2786.0,1985.0,0.0,0.0,0.0,1707566241.0,4771.0,4771.0,0 days 01:19:31,4771.0,3 days 07:31:00,4771.0,198 days 19:00:00
12018725,2498.0,3810.0,0.0,0.0,0.0,1707558415.0,6308.0,6308.0,0 days 01:45:08,6308.0,4 days 09:08:00,6308.0,262 days 20:00:00
12018726,1937.0,2084.0,0.0,0.0,0.0,1707471664.0,4021.0,4021.0,0 days 01:07:01,4021.0,2 days 19:01:00,4021.0,167 days 13:00:00
