match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration,formatted_duration
12054312,86389,2069,0,0,0,1707559667.0,88458,1 days 00:34:18
12054313,1736,76899,2323,0,0,1707552342.0,80958,0 days 22:29:18
12054328,2129,2296,0,0,0,1707472071.0,4425,0 days 01:13:45
12054355,2021,2736,3127,0,0,1707556055.0,7884,0 days 02:11:24
12054402,2539,3466,5035,0,0,1707474056.0,11040,0 days 03:04:00
12054403,2170,80162,81551,0,0,1707476051.0,163883,1 days 21:31:23
12054419,2070,2849,0,0,0,1707468164.0,4919,0 days 01:21:59
12054420,3103,2087,2370,0,0,1707555169.0,7560,0 days 02:06:00
12054428,1386,1501,0,0,0,1707476907.0,2887,0 days 00:48:07
12054429,2853,4508,0,0,0,1707478478.0,7361,0 days 02:02:41
12054435,5791,8396,0,0,0,1707471189.0,14187,0 days 03:56:27
12054437,1840,4070,2541,0,0,1707472574.0,8451,0 days 02:20:51
12054479,3111,4795,0,0,0,1707469630.0,7906,0 days 02:11:46
12054502,1516,3970,0,0,0,1707478993.0,5486,0 days 01:31:26
12054552,1899,2096,0,0,0,1707485514.0,3995,0 days 01:06:35
12054557,2753,2979,0,0,0,1707482690.0,5732,0 days 01:35:32
12054559,3838,2,0,0,0,1707484137.0,3840,0 days 01:04:00
12054581,2609,1896,2341,0,0,1707474302.0,6846,0 days 01:54:06
12054583,1887,3049,0,0,0,1707483031.0,4936,0 days 01:22:16
12054591,2813,1543,4147,0,0,1707479270.0,8503,0 days 02:21:43
12054601,2910,2199,0,0,0,1707499948.0,5109,0 days 01:25:09
12054632,2055,1827,0,0,0,1707490400.0,3882,0 days 01:04:42
12054633,2172,2136,2695,0,0,1707477799.0,7003,0 days 01:56:43
12054651,3693,2336,2571,0,0,1707487367.0,8600,0 days 02:23:20
12054690,1666,2694,0,0,0,1707476798.0,4360,0 days 01:12:40
12054727,3416,2598,0,0,0,1707476940.0,6014,0 days 01:40:14
12054728,3148,1879,0,0,0,1707489736.0,5027,0 days 01:23:47
12054729,1562,2617,1743,0,0,1707483939.0,5922,0 days 01:38:42
12054730,2198,1858,0,0,0,1707475694.0,4056,0 days 01:07:36
12054731,0,0,0,0,0,,0,0 days 00:00:00
12054732,3018,2615,0,0,0,1707476338.0,5633,0 days 01:33:53
12054733,4205,2908,0,0,0,1707498277.0,7113,0 days 01:58:33
12054734,1937,2421,1925,0,0,1707478358.0,6283,0 days 01:44:43
12054735,2893,4101,3456,0,0,1707503409.0,10450,0 days 02:54:10
12054736,3745,3690,0,0,0,1707491875.0,7435,0 days 02:03:55
12054737,0,0,0,0,0,,0,0 days 00:00:00
12054738,1259,1242,0,0,0,1707481578.0,2501,0 days 00:41:41
12054739,3492,2940,0,0,0,1707484543.0,6432,0 days 01:47:12
12054740,3184,3146,3219,0,0,1707490065.0,9549,0 days 02:39:09
12054741,1846,2495,4540,0,0,1707482743.0,8881,0 days 02:28:01
12054752,3858,286,0,0,0,1707503243.0,4144,0 days 01:09:04
12054762,1997,2718,2866,0,0,1707492803.0,7581,0 days 02:06:21
12054770,2637,585,0,0,0,1707493364.0,3222,0 days 00:53:42
12054784,2462,4010,2733,0,0,1707479821.0,9205,0 days 02:33:25
12054845,4783,2216,4411,0,0,1707502375.0,11410,0 days 03:10:10
12054861,2451,2939,0,0,0,1707497330.0,5390,0 days 01:29:50
12054931,4418,4002,2620,0,0,1707503507.0,11040,0 days 03:04:00
12054970,2565,1702,0,0,0,1707494084.0,4267,0 days 01:11:07
12055041,2067,398,0,0,0,1707493750.0,2465,0 days 00:41:05
12055042,3024,3608,0,0,0,1707494331.0,6632,0 days 01:50:32
12055119,2534,2599,4446,0,0,1707500607.0,9579,0 days 02:39:39
12055122,1346,3470,3645,0,0,1707504228.0,8461,0 days 02:21:01
12055123,4024,3069,0,0,0,1707501771.0,7093,0 days 01:58:13
12055215,3001,2705,0,0,0,1707498760.0,5706,0 days 01:35:06
12055232,2752,3655,2891,0,0,1707498546.0,9298,0 days 02:34:58
12055265,1949,1863,0,0,0,1707513434.0,3812,0 days 01:03:32
12055342,2473,1531,2575,0,0,1707515385.0,6579,0 days 01:49:39
12055771,3947,4358,2371,0,0,1707538001.0,10676,0 days 02:57:56
12055783,1935,1718,2214,0,0,1707525711.0,5867,0 days 01:37:47
12055835,2690,4144,2331,0,0,1707526146.0,9165,0 days 02:32:45
12055836,2200,2078,0,0,0,1707523954.0,4278,0 days 01:11:18
12056233,2672,5011,0,0,0,1707491048.0,7683,0 days 02:08:03
12056234,2214,2388,0,0,0,1707499006.0,4602,0 days 01:16:42
12056235,2270,1915,0,0,0,1707554855.0,4185,0 days 01:09:45
