match_id,period_1,period_2,period_3,period_4,period_5,total_duration
12018657,2484.0,3222.0,0.0,0.0,0.0,5706.0
12018665,3177.0,3056.0,0.0,0.0,0.0,6233.0
12018669,2568.0,2943.0,2745.0,0.0,0.0,8256.0
12018671,2345.0,3085.0,0.0,0.0,0.0,5430.0
12018672,1190.0,2639.0,0.0,0.0,0.0,3829.0
12018675,1943.0,2495.0,0.0,0.0,0.0,4438.0
12018676,2962.0,3290.0,0.0,0.0,0.0,6252.0
12018678,2401.0,3328.0,4999.0,0.0,0.0,10728.0
12018695,3244.0,1601.0,0.0,0.0,0.0,4845.0
12018697,2916.0,4624.0,4937.0,0.0,0.0,12477.0
12018698,2860.0,2977.0,0.0,0.0,0.0,5837.0
12018701,2314.0,3562.0,0.0,0.0,0.0,5876.0
12018703,1895.0,1768.0,0.0,0.0,0.0,3663.0
12018704,3712.0,2857.0,3813.0,0.0,0.0,10382.0
12018705,1494.0,1869.0,0.0,0.0,0.0,3363.0
12018707,1644.0,1953.0,0.0,0.0,0.0,3597.0
12018720,2216.0,1516.0,0.0,0.0,0.0,3732.0
12018722,1436.0,2524.0,3074.0,0.0,0.0,7034.0
12018724,2786.0,1985.0,0.0,0.0,0.0,4771.0
12018725,2498.0,3810.0,0.0,0.0,0.0,6308.0
12018726,1937.0,2084.0,0.0,0.0,0.0,4021.0
12018730,2593.0,2096.0,0.0,0.0,0.0,4689.0
12018734,0.0,0.0,0.0,0.0,0.0,0.0
12046889,2416.0,4848.0,0.0,0.0,0.0,7264.0
12046971,3953.0,4754.0,0.0,0.0,0.0,8707.0
12049550,3065.0,2724.0,4277.0,0.0,0.0,10066.0
12049551,0.0,0.0,0.0,0.0,0.0,0.0
12049566,2851.0,3517.0,3354.0,0.0,0.0,9722.0
12049599,4151.0,2821.0,3281.0,0.0,0.0,10253.0
12049729,1872.0,2446.0,0.0,0.0,0.0,4318.0
12050318,2121.0,1928.0,0.0,0.0,0.0,4049.0
12051702,2950.0,1980.0,0.0,0.0,0.0,4930.0
12051795,2754.0,2694.0,0.0,0.0,0.0,5448.0
12051802,2318.0,2237.0,0.0,0.0,0.0,4555.0
12051803,1760.0,2998.0,3760.0,0.0,0.0,8518.0
12051817,2596.0,3118.0,0.0,0.0,0.0,5714.0
12051970,4484.0,3814.0,0.0,0.0,0.0,8298.0
12052001,2424.0,3378.0,0.0,0.0,0.0,5802.0
12052003,3446.0,1511.0,1653.0,0.0,0.0,6610.0
12052052,0.0,0.0,0.0,0.0,0.0,0.0
12052140,1839.0,2041.0,0.0,0.0,0.0,3880.0
12052175,2888.0,3562.0,5265.0,0.0,0.0,11715.0
12052254,1809.0,2672.0,2403.0,0.0,0.0,6884.0
12052255,1676.0,1902.0,0.0,0.0,0.0,3578.0
12052259,2131.0,4622.0,3088.0,0.0,0.0,9841.0
12052321,2513.0,1290.0,0.0,0.0,0.0,3803.0
12052333,3805.0,2658.0,0.0,0.0,0.0,6463.0
12052354,1831.0,1360.0,0.0,0.0,0.0,3191.0
12052418,5119.0,2275.0,0.0,0.0,0.0,7394.0
12052426,3542.0,3730.0,0.0,0.0,0.0,7272.0
12052428,2227.0,3301.0,0.0,0.0,0.0,5528.0
12052436,2977.0,2282.0,0.0,0.0,0.0,5259.0
12052439,3299.0,2292.0,0.0,0.0,0.0,5591.0
