match_id,point_description,is_aces,total_aces,total_points,ace_ratio
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999012,1,1,34,207,0.1642512077294686
11999013,1,1,7,87,0.08045977011494253
11999013,1,1,7,87,0.08045977011494253
11999013,1,1,7,87,0.08045977011494253
11999013,1,1,7,87,0.08045977011494253
11999013,1,1,7,87,0.08045977011494253
11999013,1,1,7,87,0.08045977011494253
11999013,1,1,7,87,0.08045977011494253
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999014,1,1,19,161,0.11801242236024845
11999209,1,1,1,102,0.00980392156862745
11999210,1,1,4,119,0.03361344537815126
11999210,1,1,4,119,0.03361344537815126
11999210,1,1,4,119,0.03361344537815126
11999210,1,1,4,119,0.03361344537815126
11999211,1,1,5,139,0.03597122302158273
11999211,1,1,5,139,0.03597122302158273
11999211,1,1,5,139,0.03597122302158273
11999211,1,1,5,139,0.03597122302158273
11999211,1,1,5,139,0.03597122302158273
11999212,1,1,2,92,0.021739130434782608
11999212,1,1,2,92,0.021739130434782608
11999215,1,1,2,140,0.014285714285714285
11999215,1,1,2,140,0.014285714285714285
11999219,1,1,4,77,0.05194805194805195
11999219,1,1,4,77,0.05194805194805195
11999219,1,1,4,77,0.05194805194805195
11999219,1,1,4,77,0.05194805194805195
11999220,1,1,7,117,0.05982905982905983
11999220,1,1,7,117,0.05982905982905983
11999220,1,1,7,117,0.05982905982905983
11999220,1,1,7,117,0.05982905982905983
11999220,1,1,7,117,0.05982905982905983
11999220,1,1,7,117,0.05982905982905983
11999220,1,1,7,117,0.05982905982905983
